notion_id;capacite_id;role
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_04;PRINCIPALE
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_05;PRINCIPALE
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;ITM_MAT_SPEC_1G_2026_11_06;PRINCIPALE
MAT_EQUATIONS_FONCTIONS_POLYNOMES_DU_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12_01;PRINCIPALE
MAT_EQUATIONS_FONCTIONS_POLYNOMES_DU_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12_02;PRINCIPALE
MAT_EQUATIONS_FONCTIONS_POLYNOMES_DU_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12_03;PRINCIPALE
MAT_EQUATIONS_FONCTIONS_POLYNOMES_DU_SECOND_DEGRE;ITM_MAT_SPEC_1G_2026_12_04;PRINCIPALE
MAT_DERIVATION;ITM_MAT_SPEC_1G_2026_14_01;PRINCIPALE
MAT_DERIVATION;ITM_MAT_SPEC_1G_2026_14_02;PRINCIPALE
MAT_DERIVATION;ITM_MAT_SPEC_1G_2026_14_03;PRINCIPALE
MAT_DERIVATION;ITM_MAT_SPEC_1G_2026_14_04;PRINCIPALE
MAT_DERIVATION;ITM_MAT_SPEC_1G_2026_14_05;PRINCIPALE
MAT_FONCTION_EXPONENTIELLE;ITM_MAT_SPEC_1G_2026_16_01;PRINCIPALE
MAT_FONCTION_EXPONENTIELLE;ITM_MAT_SPEC_1G_2026_16_02;PRINCIPALE
MAT_TRIGONOMETRIE;ITM_MAT_SPEC_1G_2026_17_01;PRINCIPALE
MAT_TRIGONOMETRIE;ITM_MAT_SPEC_1G_2026_17_02;PRINCIPALE
MAT_CALCUL_VECTORIEL_ET_PRODUIT_SCALAIRE;ITM_MAT_SPEC_1G_2026_19_01;PRINCIPALE
MAT_CALCUL_VECTORIEL_ET_PRODUIT_SCALAIRE;ITM_MAT_SPEC_1G_2026_19_02;PRINCIPALE
MAT_GEOMETRIE_REPEREE;ITM_MAT_SPEC_1G_2026_20_01;PRINCIPALE
MAT_GEOMETRIE_REPEREE;ITM_MAT_SPEC_1G_2026_20_02;PRINCIPALE
MAT_PROBABILITES_CONDITIONNELLES_ET_INDEPENDANCE;ITM_MAT_SPEC_1G_2026_22_01;PRINCIPALE
MAT_PROBABILITES_CONDITIONNELLES_ET_INDEPENDANCE;ITM_MAT_SPEC_1G_2026_22_02;PRINCIPALE
MAT_VARIABLES_ALEATOIRES_REELLES;ITM_MAT_SPEC_1G_2026_23_01;PRINCIPALE
MAT_VARIABLES_ALEATOIRES_REELLES;ITM_MAT_SPEC_1G_2026_23_02;PRINCIPALE
MAT_EXPERIMENTATIONS;ITM_MAT_SPEC_1G_2026_24_01;PRINCIPALE
MAT_COMBINATOIRE_ET_DENOMBREMENT;ITM_MAT_TERM_G_2019_01_01_01;PRINCIPALE
MAT_COMBINATOIRE_ET_DENOMBREMENT;ITM_MAT_TERM_G_2019_01_01_02;PRINCIPALE
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_01;PRINCIPALE
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_02;PRINCIPALE
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;ITM_MAT_TERM_G_2019_01_02_03;PRINCIPALE
