offre_id;niveau_id;serie_id;enseignement_id;statut;version_id
OFF_TT_ST2S_MATH_SPEC_TECH_CURR;TT;ST2S;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_ST2S_EMC_LYCEE_CURR;TT;ST2S;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STL_PHILO_CURR;TT;STL;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_STL_HG_LYCEE_CURR;TT;STL;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STL_LVA_LVB_TECH_CURR;TT;STL;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STL_EPS_CURR;TT;STL;EPS;OBLIGATOIRE;2026_2027
OFF_TT_STL_MATH_SPEC_TECH_CURR;TT;STL;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STL_EMC_LYCEE_CURR;TT;STL;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_PHILO_CURR;TT;STD2A;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_HG_LYCEE_CURR;TT;STD2A;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_LVA_LVB_TECH_CURR;TT;STD2A;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_EPS_CURR;TT;STD2A;EPS;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_MATH_SPEC_TECH_CURR;TT;STD2A;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_EMC_LYCEE_CURR;TT;STD2A;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_PHILO_CURR;TT;STI2D;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_HG_LYCEE_CURR;TT;STI2D;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_LVA_LVB_TECH_CURR;TT;STI2D;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_EPS_CURR;TT;STI2D;EPS;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_MATH_SPEC_TECH_CURR;TT;STI2D;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_EMC_LYCEE_CURR;TT;STI2D;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STMG_PHILO_CURR;TT;STMG;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_STMG_HG_LYCEE_CURR;TT;STMG;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STMG_LVA_LVB_TECH_CURR;TT;STMG;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STMG_EPS_CURR;TT;STMG;EPS;OBLIGATOIRE;2026_2027
OFF_TT_STMG_MATH_SPEC_TECH_CURR;TT;STMG;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_STMG_EMC_LYCEE_CURR;TT;STMG;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_PHILO_CURR;TT;S2TMD;PHILO;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_HG_LYCEE_CURR;TT;S2TMD;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_LVA_LVB_TECH_CURR;TT;S2TMD;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_EPS_CURR;TT;S2TMD;EPS;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_MATH_SPEC_TECH_CURR;TT;S2TMD;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_EMC_LYCEE_CURR;TT;S2TMD;EMC_LYCEE;OBLIGATOIRE;2026_2027
